Site:,GorstenN2,6875,tonnes,118,days,2832,timesteps,,
3,4,4,3,85,9,mg,ug,ug,
Day,Time,A-Chem(fd)ug/d,A-Chem(fae)ug/d,A-FI(kg/d for farm),,,,,
#NAME?,437,0,32413229,6076
#NAME?,438,0,32413229,6076
#NAME?,439,0,32413229,6076
#NAME?,440,0,32413229,6076
#NAME?,441,0,32413229,6076
#NAME?,442,0,32413229,6076
#NAME?,443,0,32413229,6076
#NAME?,444,0,32413229,6076
#NAME?,445,0,32413229,6076
#NAME?,446,0,32413229,6076
#NAME?,447,0,32413229,6076
#NAME?,448,0,32413229,6076
#NAME?,449,0,32413229,6076
#NAME?,450,0,32413229,6076
#NAME?,451,0,32413229,6076
#NAME?,452,0,32413229,6076
#NAME?,453,0,32413229,6076
#NAME?,454,0,32413229,6076
#NAME?,455,0,32413229,6076
#NAME?,456,0,32413229,6076
#NAME?,457,0,31795112,6076
#NAME?,458,0,31795112,6076
#NAME?,459,0,31795112,6076
#NAME?,460,0,31795112,6076
#NAME?,461,0,31795112,6076
#NAME?,462,0,31795112,6076
#NAME?,463,0,31795112,6076
#NAME?,464,0,31795112,6076
#NAME?,465,0,31795112,6076
#NAME?,466,0,31795112,6076
#NAME?,467,0,31795112,6076
#NAME?,468,0,31795112,6076
#NAME?,469,0,31795112,6076
#NAME?,470,0,31795112,6076
#NAME?,471,0,31795112,6076
#NAME?,472,0,31795112,6076
#NAME?,473,0,31795112,6076
#NAME?,474,0,31795112,6076
#NAME?,475,0,31795112,6076
#NAME?,476,0,31795112,6076
#NAME?,477,0,31795112,6076
#NAME?,478,0,31795112,6076
#NAME?,479,0,31795112,6076
#NAME?,480,0,31795112,6076
#NAME?,481,0,31188782,6076
#NAME?,482,0,31188782,6076
#NAME?,483,0,31188782,6076
#NAME?,484,0,31188782,6076
#NAME?,485,0,31188782,6076
#NAME?,486,0,31188782,6076
#NAME?,487,0,31188782,6076
#NAME?,488,0,31188782,6076
#NAME?,489,0,31188782,6076
#NAME?,490,0,31188782,6076
#NAME?,491,0,31188782,6076
#NAME?,492,0,31188782,6076
#NAME?,493,0,31188782,6076
#NAME?,494,0,31188782,6076
#NAME?,495,0,31188782,6076
#NAME?,496,0,31188782,6076
#NAME?,497,0,31188782,6076
#NAME?,498,0,31188782,6076
#NAME?,499,0,31188782,6076
#NAME?,500,0,31188782,6076
#NAME?,501,0,31188782,6076
#NAME?,502,0,31188782,6076
#NAME?,503,0,31188782,6076
#NAME?,504,0,31188782,6076
#NAME?,505,0,30594014,6076
#NAME?,506,0,30594014,6076
#NAME?,507,0,30594014,6076
#NAME?,508,0,30594014,6076
#NAME?,509,0,30594014,6076
#NAME?,510,0,30594014,6076
#NAME?,511,0,30594014,6076
#NAME?,512,0,30594014,6076
#NAME?,513,0,30594014,6076
#NAME?,514,0,30594014,6076
#NAME?,515,0,30594014,6076
#NAME?,516,0,30594014,6076
#NAME?,517,0,30594014,6076
#NAME?,518,0,30594014,6076
#NAME?,519,0,30594014,6076
#NAME?,520,0,30594014,6076
#NAME?,521,0,30594014,6076
#NAME?,522,0,30594014,6076
#NAME?,523,0,30594014,6076
#NAME?,524,0,30594014,6076
#NAME?,525,0,30594014,6076
#NAME?,526,0,30594014,6076
#NAME?,527,0,30594014,6076
#NAME?,528,0,30594014,6076
#NAME?,529,0,30010589,6076
#NAME?,530,0,30010589,6076
#NAME?,531,0,30010589,6076
#NAME?,532,0,30010589,6076
#NAME?,533,0,30010589,6076
#NAME?,534,0,30010589,6076
#NAME?,535,0,30010589,6076
#NAME?,536,0,30010589,6076
#NAME?,537,0,30010589,6076
#NAME?,538,0,30010589,6076
#NAME?,539,0,30010589,6076
#NAME?,540,0,30010589,6076
#NAME?,541,0,30010589,6076
#NAME?,542,0,30010589,6076
#NAME?,543,0,30010589,6076
#NAME?,544,0,30010589,6076
#NAME?,545,0,30010589,6076
#NAME?,546,0,30010589,6076
#NAME?,547,0,30010589,6076
#NAME?,548,0,30010589,6076
#NAME?,549,0,30010589,6076
#NAME?,550,0,30010589,6076
