"x","y","mg TFBZ/m2","mg TFBZ/kg sediment"
206262.5,770787.5,7.276,0.120
206287.5,770787.5,3.186,0.052
206312.5,770787.5,1.847,0.030
206337.5,770787.5,0.594,0.010
206362.5,770787.5,0.660,0.011
206387.5,770787.5,0.264,0.004
206412.5,770787.5,0.066,0.001
206437.5,770787.5,0.000,0.000
206462.5,770787.5,0.000,0.000
206487.5,770787.5,0.000,0.000
206512.5,770787.5,0.000,0.000
206537.5,770787.5,0.000,0.000
206562.5,770787.5,0.000,0.000
206587.5,770787.5,0.000,0.000
206612.5,770787.5,0.066,0.001
206637.5,770787.5,0.000,0.000
206662.5,770787.5,0.000,0.000
205712.5,770762.5,0.000,0.000
205737.5,770762.5,0.000,0.000
205762.5,770762.5,0.000,0.000
205787.5,770762.5,0.000,0.000
205812.5,770762.5,0.000,0.000
205837.5,770762.5,0.000,0.000
205862.5,770762.5,0.000,0.000
205887.5,770762.5,0.000,0.000
205912.5,770762.5,0.000,0.000
205937.5,770762.5,0.066,0.001
205962.5,770762.5,0.000,0.000
205987.5,770762.5,0.000,0.000
206012.5,770762.5,0.066,0.001
206037.5,770762.5,0.594,0.010
206062.5,770762.5,0.858,0.014
206087.5,770762.5,1.715,0.028
206112.5,770762.5,3.959,0.065
206137.5,770762.5,4.161,0.068
206162.5,770762.5,5.414,0.089
206187.5,770762.5,12.682,0.209
206212.5,770762.5,27.763,0.457
206237.5,770762.5,29.281,0.482
206262.5,770762.5,17.015,0.280
206287.5,770762.5,4.155,0.068
206312.5,770762.5,1.854,0.030
206337.5,770762.5,0.792,0.013
206362.5,770762.5,0.198,0.003
206387.5,770762.5,0.066,0.001
206412.5,770762.5,0.066,0.001
206437.5,770762.5,0.000,0.000
206462.5,770762.5,0.000,0.000
206487.5,770762.5,0.000,0.000
206512.5,770762.5,0.000,0.000
206537.5,770762.5,0.000,0.000
206562.5,770762.5,0.066,0.001
206587.5,770762.5,0.066,0.001
206612.5,770762.5,0.000,0.000
206637.5,770762.5,0.000,0.000
206662.5,770762.5,0.000,0.000
205712.5,770737.5,0.000,0.000
205737.5,770737.5,0.000,0.000
205762.5,770737.5,0.000,0.000
205787.5,770737.5,0.000,0.000
205812.5,770737.5,0.000,0.000
205837.5,770737.5,0.000,0.000
205862.5,770737.5,0.000,0.000
205887.5,770737.5,0.000,0.000
205912.5,770737.5,0.000,0.000
205937.5,770737.5,0.066,0.001
205962.5,770737.5,0.066,0.001
205987.5,770737.5,0.066,0.001
206012.5,770737.5,0.198,0.003
206037.5,770737.5,0.726,0.012
206062.5,770737.5,1.452,0.024
206087.5,770737.5,1.715,0.028
206112.5,770737.5,2.837,0.047
206137.5,770737.5,3.513,0.058
206162.5,770737.5,9.495,0.156
206187.5,770737.5,27.349,0.450
206212.5,770737.5,40.213,0.661
206237.5,770737.5,39.436,0.649
206262.5,770737.5,15.551,0.256
206287.5,770737.5,3.767,0.062
206312.5,770737.5,1.520,0.025
206337.5,770737.5,0.330,0.005
206362.5,770737.5,0.132,0.002
206387.5,770737.5,0.132,0.002
206412.5,770737.5,0.132,0.002
206437.5,770737.5,0.066,0.001
206462.5,770737.5,0.000,0.000
206487.5,770737.5,0.066,0.001
206512.5,770737.5,0.000,0.000
206537.5,770737.5,0.000,0.000
206562.5,770737.5,0.000,0.000
206587.5,770737.5,0.000,0.000
206612.5,770737.5,0.000,0.000
206637.5,770737.5,0.000,0.000
206662.5,770737.5,0.000,0.000
205712.5,770712.5,0.000,0.000
205737.5,770712.5,0.000,0.000
205762.5,770712.5,0.000,0.000
205787.5,770712.5,0.000,0.000
205812.5,770712.5,0.000,0.000
205837.5,770712.5,0.000,0.000
205862.5,770712.5,0.000,0.000
205887.5,770712.5,0.000,0.000
205912.5,770712.5,0.066,0.001
205937.5,770712.5,0.000,0.000
205962.5,770712.5,0.066,0.001
205987.5,770712.5,0.264,0.004
206012.5,770712.5,0.264,0.004
206037.5,770712.5,0.594,0.010
206062.5,770712.5,0.990,0.016
206087.5,770712.5,3.633,0.060
206112.5,770712.5,4.699,0.077
206137.5,770712.5,8.416,0.138
206162.5,770712.5,12.592,0.207
206187.5,770712.5,27.297,0.449
206212.5,770712.5,32.329,0.532
206237.5,770712.5,23.885,0.393
206262.5,770712.5,5.212,0.086
206287.5,770712.5,1.334,0.022
206312.5,770712.5,0.198,0.003
206337.5,770712.5,0.066,0.001
206362.5,770712.5,0.132,0.002
206387.5,770712.5,0.198,0.003
206412.5,770712.5,0.000,0.000
206437.5,770712.5,0.066,0.001
206462.5,770712.5,0.000,0.000
206487.5,770712.5,0.000,0.000
206512.5,770712.5,0.066,0.001
206537.5,770712.5,0.000,0.000
206562.5,770712.5,0.000,0.000
206587.5,770712.5,0.066,0.001
206612.5,770712.5,0.000,0.000
206637.5,770712.5,0.000,0.000
206662.5,770712.5,0.000,0.000
205712.5,770687.5,0.000,0.000
205737.5,770687.5,0.000,0.000
205762.5,770687.5,0.000,0.000
205787.5,770687.5,0.000,0.000
205812.5,770687.5,0.000,0.000
205837.5,770687.5,0.000,0.000
205862.5,770687.5,0.000,0.000
205887.5,770687.5,0.000,0.000
205912.5,770687.5,0.132,0.002
205937.5,770687.5,0.000,0.000
205962.5,770687.5,0.330,0.005
205987.5,770687.5,0.396,0.007
206012.5,770687.5,0.396,0.007
206037.5,770687.5,0.924,0.015
206062.5,770687.5,3.761,0.062
206087.5,770687.5,11.111,0.183
206112.5,770687.5,19.903,0.327
206137.5,770687.5,16.627,0.273
206162.5,770687.5,15.159,0.249
206187.5,770687.5,14.730,0.242
206212.5,770687.5,10.293,0.169
206237.5,770687.5,6.202,0.102
206262.5,770687.5,1.792,0.029
206287.5,770687.5,0.660,0.011
206312.5,770687.5,0.198,0.003
206337.5,770687.5,0.198,0.003
206362.5,770687.5,0.000,0.000
206387.5,770687.5,0.066,0.001
206412.5,770687.5,0.000,0.000
206437.5,770687.5,0.000,0.000
206462.5,770687.5,0.000,0.000
